date,hs1,hs2,hs3,hs4
2018-04-30,0.026169378,-0.014627101,-0.046569657,0.07826311
2018-05-31,0.019183263,-0.03119149,-0.041506078,0.056549095
2018-06-30,-0.0840737,0.052260302,-0.0414031,-0.044479214
2018-07-31,-0.00783591,0.02608382,-0.022287557,-0.023754902
2018-08-31,-0.06769644,0.031538185,-0.0060717855,-0.045987204
2018-09-30,-0.06626534,0.05057829,0.017412838,-0.08047642
2018-10-31,-0.030235775,0.028195208,0.011171755,-0.052822508
2018-11-30,-0.004056,-0.0074189496,0.001958656,-0.00063781685
2018-12-31,-0.07669703,0.098217234,0.0010869566,-0.059747223
2019-01-31,-0.06994869,0.029477414,0.010182788,-0.02146018
2019-02-28,-0.1017105,-0.0010782788,0.07681248,-0.045555037
2019-03-31,0.024515675,-0.2786131,0.1495786,-0.018239338
2019-04-30,-0.06476928,-0.03637715,0.1249776,-0.11391052
2019-05-31,0.07619909,-0.10523835,0.008557956,0.01585498
2019-06-30,0.14898817,-0.042291876,0.054764085,-0.01576732
2019-07-31,0.30903804,-0.2109866,0.050431367,-0.0088946065
2019-08-31,0.13898216,-0.20325185,-0.008934393,0.09331541
2019-09-30,0.08992276,-0.18470314,-0.014415676,0.06505455
2019-10-31,0.08869692,-0.061053,0.015750004,-0.030423317
2019-11-30,0.19229199,0.11125716,0.051593978,-0.18568526
2019-12-31,0.12052148,0.019899787,0.10492511,-0.08429493
2020-01-31,-0.31989333,0.24695933,-0.18649219,-0.037699778
2020-02-29,-0.0953224,0.2523189,-0.1280473,-0.32212287
2020-03-31,-0.077797614,0.20992038,-0.050329685,-0.26603153
2020-04-30,-0.12831649,0.20367289,-0.0040507354,-0.64201003
2020-05-31,-0.20122366,0.25694436,0.09044114,-0.6273432
2020-06-30,0.13628303,0.09312285,0.006646116,-0.9180168
2020-07-31,0.012373631,0.13802353,-0.025760256,-0.36917347
2020-08-31,0.014519861,0.11122976,-0.03454601,-0.3317174
2020-09-30,-0.08296785,0.06647921,-0.016135184,-0.296543
2020-10-31,-0.18945287,0.15473548,-0.018373832,-0.26002246
2020-11-30,-0.08189837,0.1368796,-0.012186944,-0.2132909
2020-12-31,-0.07824404,0.16858056,-0.053271633,-0.101045884
2021-01-31,-0.0970292,0.06389515,-0.054905772,-0.016756674
2021-02-28,-0.076781906,0.109004825,0.03599536,-0.04644017
2021-03-31,0.026146859,0.023658656,0.03685042,0.008359358
2021-04-30,0.076140925,-0.006608411,0.0027308727,0.0014140601
2021-05-31,0.1009234,-0.13051282,-0.091705754,0.0055856886
2021-06-30,0.039092563,-0.19218479,-0.11909574,0.038273275
2021-07-31,0.027190654,-0.12196089,-0.12018155,0.013342165
2021-08-31,0.12897965,0.023452202,-0.035170287,-0.10606521
2021-09-30,0.07932427,0.03008996,-0.040242262,-0.0364691
2021-10-31,-0.008211601,-0.07815447,-0.0467166,-0.007062564
2021-11-30,-0.0233094,-0.045870837,-0.068410344,0.04877101
2021-12-31,-0.039252985,-0.11976751,-0.1372712,0.08394397
2022-01-31,-0.081208006,-0.20767988,-0.2024068,0.11845413
2022-02-28,-0.064052284,-0.10721318,-0.12108017,0.14109522
2022-03-31,-0.021913044,-0.104887724,-0.17873979,0.17658259
2022-04-30,0.0133246,-0.10922023,-0.18833293,0.20143782
