date,year,permno,ticker,ret,ret_pred,me_last_year
2019-07-31,2019,18413,SLGG,-0.0970760658383369,0.007812691197634768,504164.6069469452
2019-07-31,2019,55976,WMT,-0.0009955707937479,0.007807465506784751,116746204.77028656
2019-07-31,2019,57665,NKE,0.0247766748070716,0.007806091820356186,305726117.9442304
2019-07-31,2019,90319,GOOG,0.1250460743904113,0.0078053954322563545,124922077.34407552
2019-07-31,2019,18163,PG,0.0833187326788902,0.007804942239303191,5379764.030489445
2019-07-31,2019,10145,HON,-0.0121999522671103,0.007803921133170347,976717967.7019316
2019-07-31,2019,12490,IBM,0.0749819576740264,0.007801504172326952,84547497.51960246
2019-07-31,2019,19393,BMY,-0.0116868503391742,0.007799616039009297,59369372.32716624
2019-08-31,2019,87055,COST,0.0717628896236419,0.007828811369652655,73270619.12644577
2019-08-31,2019,40539,TJX,0.0117302024737,0.007822460279803045,66818667.00689316
2019-08-31,2019,19393,BMY,0.0824138671159744,0.007822198246942724,59369372.32716624
2019-08-31,2019,11552,CELG,0.0537775121629238,0.007819581378342025,215991145.0251738
2019-08-31,2019,10145,HON,-0.0407051555812358,0.007815555575005677,976717967.7019316
2019-08-31,2019,55976,WMT,0.0399529337882995,0.007814750337574936,116746204.77028656
2019-08-31,2019,57665,NKE,-0.0152272321283817,0.007814056766645632,305726117.9442304
2019-08-31,2019,77274,GILD,-0.030219716951251,0.007811252646479814,83297278.6266969
2019-08-31,2019,12490,IBM,-0.0748111605644226,0.007811064200367924,84547497.51960246
2019-08-31,2019,21936,PFE,-0.0754377171397209,0.007807406748881384,96621336.6845398
2019-09-30,2019,15408,KHC,0.0946316197514534,0.008279735603117004,921890881.8408966
2019-09-30,2019,19502,WBA,0.0804845243692398,0.007867338067256221,84431652.4154752
2019-09-30,2019,87055,COST,-0.0225608088076114,0.007821170736242623,73270619.12644577
2019-09-30,2019,11552,CELG,0.0258264448493719,0.007820099213330899,215991145.0251738
2019-09-30,2019,10145,HON,0.0278216619044542,0.007818154172947442,976717967.7019316
2019-09-30,2019,77274,GILD,0.0073969173245131,0.007816505081800283,83297278.6266969
2019-09-30,2019,12490,IBM,0.0729727670550346,0.007812672187307678,84547497.51960246
2019-09-30,2019,57665,NKE,0.1114792674779892,0.007811476330590277,305726117.9442304
2019-09-30,2019,19393,BMY,0.0549198947846889,0.007810532694232493,59369372.32716624
2019-09-30,2019,21936,PFE,0.0106892008334398,0.007803905153562814,96621336.6845398
2019-10-31,2019,57665,NKE,-0.0465289093554019,0.007808031349522091,305726117.9442304
2019-10-31,2019,11552,CELG,0.0879153609275817,0.0078055544018929965,215991145.0251738
2019-10-31,2019,87055,COST,0.0334941521286964,0.007800815358082472,73270619.12644577
2019-10-31,2019,19393,BMY,0.1394202262163162,0.007798711717771785,59369372.32716624
2019-10-31,2019,77274,GILD,0.0052066585049033,0.007795625183574549,83297278.6266969
2019-10-31,2019,10145,HON,0.020862877368927,0.007794508495413289,976717967.7019316
2019-10-31,2019,12490,IBM,-0.0803878605365753,0.007792403727807596,84547497.51960246
